"","posicao","ticker","quant_cotas","tipo","segmento","gestora","quant_ativos","valor_investido"
"1","1.0","HGBS11","10.0","Tijolo","Shoppings","Hedge Investimentos","17.0","2072.96"
"2","2.0","XPCI11","18.0","Papel","Títulos e Val. Mob.","XP VISTA","0.0","1688.26"
"3","3.0","HGRE11","12.0","Tijolo","Lajes Corporativas","CREDIT SUISSE","21.0","1652.52"
"4","4.0","RBRR11 *","12.0","Papel","Títulos e Val. Mob.","RBR Gestão","0.0","1143.83"
"5","5.0","HSML11","11.0","Tijolo","Shoppings","Hemisfério Sul Investimentos","5.0","1020.53"
"6","6.0","GGRC11","8.0","Tijolo","Logística/Ind.","Supernova Capital","15.0","975.24"
"7","7.0","RZTR11","4.0","Terras","Agro","Riza Terrax","10.0","671.15"
"8","8.0","XPSF11","6.0","FoF","FoF","XP VISTA","0.0","567.9"
"9","9.0","VILG11*","3.0","Tijolo","Logística","VINCI REAL ESTATE","13.0","465.02"
"10","10.0","EQIN11","4.0","Papel","Títulos e Val. Mob.","NCH CAPITAL","0.0","374.9"
"11","11.0","HGRU11","4.0","Tijolo","Híbrido","CREDIT SUISSE","16.0","363.66"
"12","12.0","PVBI11","3.0","Tijolo","Lajes Corporativas","VBI REAL ESTATE","4.0","286.56"
"13","13.0","VINO11","4.0","Tijolo","Lajes Corporativas","VINCI REAL ESTATE","9.0","239.2"
